10 ^        -1 x  5.3860200201784324,
10 ^        -1 x  5.3042441088826288,
10 ^        -2 x  4.5880724506840289,
10 ^        -1 x  5.3042441088826288,
10 ^        -1 x  5.2216419436353306,
10 ^        -2 x  4.5798495892738245,
10 ^        -1 x  5.2216419436353306,
10 ^        -1 x  5.1382905517133796,
10 ^        -2 x  4.5706223544293205,
10 ^        -1 x  5.1382905517133796,
10 ^        -1 x  5.0542680791399700,
10 ^        -2 x  4.5603342536273729,
10 ^        -1 x  5.0542680791399700,
10 ^        -1 x  4.9696506273491216,
10 ^        -2 x  4.5489584759982317,
10 ^        -1 x  4.9696506273491216,
10 ^        -1 x  4.8845099411449025,
10 ^        -2 x  4.5364975066812109,
10 ^        -1 x  4.8845099411449025,
10 ^        -1 x  4.7989119455095939,
10 ^        -2 x  4.5229791257436580,
10 ^        -1 x  4.7989119455095939,
10 ^        -1 x  4.7129160155401977,
10 ^        -2 x  4.5084506579593324,
10 ^        -1 x  4.7129160155401977,
10 ^        -1 x  4.6265748103425657,
10 ^        -2 x  4.4929729129265017,
10 ^        -1 x  4.6265748103425657,
10 ^        -1 x  4.5399344963687650,
10 ^        -2 x  4.4766147079808847,
10 ^        -1 x  4.5399344963687650,
10 ^        -1 x  4.4530352090979450,
10 ^        -2 x  4.4594483945867267,
10 ^        -1 x  4.4530352090979450,
10 ^        -1 x  4.3659116368091330,
10 ^        -2 x  4.4415464831436187,
10 ^        -1 x  4.3659116368091330,
10 ^        -1 x  4.2785936450769110,
10 ^        -2 x  4.4229792756052818,
10 ^        -1 x  4.2785936450769110,
10 ^        -1 x  4.1911068899053805,
10 ^        -2 x  4.4038133334723354,
10 ^        -1 x  4.1911068899053805,
10 ^        -1 x  4.1034733894531414,
10 ^        -2 x  4.3841105912372415,
10 ^        -1 x  4.1034733894531414,
10 ^        -1 x  4.0157120395881012,
10 ^        -2 x  4.3639279415408568,
10 ^        -1 x  4.0157120395881012,
10 ^        -1 x  3.9278390683876302,
10 ^        -2 x  4.3433171481242453,
10 ^        -1 x  3.9278390683876302,
10 ^        -1 x  3.8398684306262760,
10 ^        -2 x  4.3223249747901002,
10 ^        -1 x  3.8398684306262760,
10 ^        -1 x  3.7518121465241434,
10 ^        -2 x  4.3009934475492164,
10 ^        -1 x  3.7518121465241434,
10 ^        -1 x  3.6636805905218314,
10 ^        -2 x  4.2793601909144348,
10 ^        -1 x  3.6636805905218314,
10 ^        -1 x  3.5754827362811325,
10 ^        -2 x  4.2574587977337053,
10 ^        -1 x  3.5754827362811325,
10 ^        -1 x  3.4872263639398848,
10 ^        -2 x  4.2353192056563299,
10 ^        -1 x  3.4872263639398848,
10 ^        -1 x  3.3989182351663501,
10 ^        -2 x  4.2129680631943998,
10 ^        -1 x  3.3989182351663501,
10 ^        -1 x  3.3105642409423945,
10 ^        -2 x  4.1904290752570876,
10 ^        -1 x  3.3105642409423945,
10 ^        -1 x  3.2221695263601747,
10 ^        -2 x  4.1677233227585306,
10 ^        -1 x  3.2221695263601747,
10 ^        -1 x  3.1337385961010962,
10 ^        -2 x  4.1448695540383357,
10 ^        -1 x  3.1337385961010962,
10 ^        -1 x  3.0452754037063724,
10 ^        -2 x  4.1218844478514904,
10 ^        -1 x  3.0452754037063724,
10 ^        -1 x  2.9567834272561718,
10 ^        -2 x  4.0987828489253158,
10 ^        -1 x  2.9567834272561718,
10 ^        -1 x  2.8682657336498734,
10 ^        -2 x  4.0755779777935034,
10 ^        -1 x  2.8682657336498734,
10 ^        -1 x  2.7797250333190845,
10 ^        -2 x  4.0522816169776409,
10 ^        -1 x  2.7797250333190845,
10 ^        -1 x  2.6911637269011702,
10 ^        -2 x  4.0289042757182351,
10 ^        -1 x  2.6911637269011702,
10 ^        -1 x  2.6025839451467655,
10 ^        -2 x  4.0054553354450280,
10 ^        -1 x  2.6025839451467655,
10 ^        -1 x  2.5139875831228884,
10 ^        -2 x  3.9819431780780345,
10 ^        -1 x  2.5139875831228884,
10 ^        -1 x  2.4253763295972468,
10 ^        -2 x  3.9583752991047507,
10 ^        -1 x  2.4253763295972468,
10 ^        -1 x  2.3367516923432929,
10 ^        -2 x  3.9347584072106192,
10 ^        -1 x  2.3367516923432929,
10 ^        -1 x  2.2481150199844908,
10 ^        -2 x  3.9110985120652427,
10 ^        -1 x  2.2481150199844908,
10 ^        -1 x  2.1594675208958575,
10 ^        -2 x  3.8874010016959148,
10 ^        -1 x  2.1594675208958575,
10 ^        -1 x  2.0708102795975332,
10 ^        -2 x  3.8636707107186070,
10 ^        -1 x  2.0708102795975332,
10 ^        -1 x  1.9821442710059504,
10 ^        -2 x  3.8399119805476284,
10 ^        -1 x  1.9821442710059504,
10 ^        -1 x  1.8934703728506336,
